Physical Time: Physical Time (s),star
0.273,1473.640683
0.2735,1473.641341
0.274,1473.641995
0.2745,1473.642646
0.275,1473.643293
0.2755,1473.643936
0.276,1473.644576
0.2765,1473.645213
0.277,1473.645846
0.2775,1473.646475
0.278,1473.647101
0.2785,1473.647724
0.279,1473.648343
0.2795,1473.648959
0.28,1473.649571
0.2805,1473.65018
0.281,1473.650785
0.2815,1473.651387
0.282,1473.651986
0.2825,1473.652582
0.283,1473.653174
0.2835,1473.653762
0.284,1473.654348
0.2845,1473.65493
0.285,1473.655509
0.2855,1473.656084
0.286,1473.656657
0.2865,1473.657226
0.287,1473.657792
0.2875,1473.658354
0.288,1473.658913
0.2885,1473.65947
0.289,1473.660023
0.2895,1473.660572
0.29,1473.661119
0.2905,1473.661662
0.291,1473.662203
0.2915,1473.66274
0.292,1473.663274
0.2925,1473.663805
0.293,1473.664332
0.2935,1473.664857
0.294,1473.665379
0.2945,1473.665897
0.295,1473.666413
0.2955,1473.666925
0.296,1473.667435
0.2965,1473.667941
0.297,1473.668445
0.2975,1473.668945
0.298,1473.669443
0.2985,1473.669937
0.299,1473.670429
0.2995,1473.670917
0.3,1473.671403
0.3005,1473.671886
0.301,1473.672366
0.3015,1473.672842
0.302,1473.673316
0.3025,1473.673788
0.303,1473.674256
0.3035,1473.674721
0.304,1473.675184
0.3045,1473.675644
0.305,1473.6761
0.3055,1473.676555
0.306,1473.677006
0.3065,1473.677454
0.307,1473.6779
0.3075,1473.678343
0.308,1473.678783
0.3085,1473.679221
0.309,1473.679655
0.3095,1473.680087
0.31,1473.680517
0.3105,1473.680943
0.311,1473.681367
0.3115,1473.681788
0.312,1473.682207
0.3125,1473.682622
0.313,1473.683036
0.3135,1473.683446
0.314,1473.683854
0.3145,1473.684259
0.315,1473.684662
0.3155,1473.685062
0.316,1473.685459
0.3165,1473.685854
0.317,1473.686247
0.3175,1473.686636
0.318,1473.687024
0.3185,1473.687408
0.319,1473.68779
0.3195,1473.68817
0.32,1473.688547
0.3205,1473.688922
0.321,1473.689294
0.3215,1473.689663
0.322,1473.69003
0.3225,1473.690395
0.323,1473.690757
0.3235,1473.691117
0.324,1473.691475
0.3245,1473.691829
0.325,1473.692182
0.3255,1473.692532
0.326,1473.69288
0.3265,1473.693225
0.327,1473.693568
0.3275,1473.693909
0.328,1473.694247
0.3285,1473.694583
0.329,1473.694917
0.3295,1473.695248
0.33,1473.695577
0.3305,1473.695903
0.331,1473.696228
0.3315,1473.69655
0.332,1473.696869
0.3325,1473.697187
0.333,1473.697502
0.3335,1473.697815
0.334,1473.698126
0.3345,1473.698434
0.335,1473.698741
0.3355,1473.699045
0.336,1473.699346
0.3365,1473.699646
0.337,1473.699944
0.3375,1473.700239
0.338,1473.700532
0.3385,1473.700823
0.339,1473.701112
0.3395,1473.701398
0.34,1473.701683
0.3405,1473.701965
0.341,1473.702245
0.3415,1473.702523
0.342,1473.702799
0.3425,1473.703073
0.343,1473.703345
0.3435,1473.703615
0.344,1473.703883
0.3445,1473.704148
0.345,1473.704412
0.3455,1473.704673
0.346,1473.704933
0.3465,1473.70519
0.347,1473.705446
0.3475,1473.705699
0.348,1473.705951
0.3485,1473.7062
0.349,1473.706447
0.3495,1473.706693
0.35,1473.706936
0.3505,1473.707178
0.351,1473.707418
0.3515,1473.707655
0.352,1473.707891
