Physical Time: Physical Time (s),star,cowan,parker,rectangle,star/ana
0.062,1473.0471990000,1473.010299,1473.010805,1473.01066722108,1.000011339
0.0625,1473.0484650000,1473.010729,1473.011261,1473.01109732798,1.000011691
0.063,1473.0497480000,1473.01117,1473.011728,1473.01153775285,1.000012049
0.0635,1473.0510470000,1473.011621,1473.012206,1473.01198849320,1.000012412
0.064,1473.0523630000,1473.012082,1473.012695,1473.01244954151,1.000012781
0.0645,1473.0536940000,1473.012554,1473.013195,1473.01292088533,1.000013155
0.065,1473.0550410000,1473.013036,1473.013707,1473.01340250740,1.000013534
0.0655,1473.0564040000,1473.013528,1473.014229,1473.01389438582,1.000013919
0.066,1473.0577830000,1473.014031,1473.014763,1473.01439649411,1.000014308
0.0665,1473.0591770000,1473.014544,1473.015308,1473.01490880142,1.000014703
0.067,1473.0605860000,1473.015066,1473.015864,1473.01543127256,1.000015104
0.0675,1473.0620110000,1473.015599,1473.016431,1473.01596386824,1.000015508
0.068,1473.0634500000,1473.016142,1473.017009,1473.01650654510,1.000015919
0.0685,1473.0649040000,1473.016696,1473.017598,1473.01705925592,1.000016334
0.069,1473.0663720000,1473.017259,1473.018198,1473.01762194971,1.000016754
0.0695,1473.0678550000,1473.017832,1473.018809,1473.01819457182,1.000017179
0.07,1473.0693520000,1473.018415,1473.019431,1473.01877706414,1.000017609
0.0705,1473.0708630000,1473.019007,1473.020063,1473.01936936515,1.000018044
0.071,1473.0723870000,1473.01961,1473.020706,1473.01997141009,1.000018484
0.0715,1473.0739250000,1473.020222,1473.02136,1473.02058313109,1.000018928
0.072,1473.0754770000,1473.020843,1473.022025,1473.02120445727,1.000019378
0.0725,1473.0770410000,1473.021475,1473.0227,1473.02183531488,1.000019831
0.073,1473.0786190000,1473.022115,1473.023385,1473.02247562741,1.00002029
0.0735,1473.0802090000,1473.022765,1473.024081,1473.02312531574,1.000020752
0.074,1473.0818120000,1473.023425,1473.024787,1473.02378429820,1.000021219
0.0745,1473.0834280000,1473.024093,1473.025504,1473.02445249076,1.000021691
0.075,1473.0850550000,1473.024771,1473.02623,1473.02512980708,1.000022167
0.0755,1473.0866950000,1473.025458,1473.026967,1473.02581615866,1.000022648
0.076,1473.0883460000,1473.026153,1473.027713,1473.02651145495,1.000023132
0.0765,1473.0900090000,1473.026858,1473.02847,1473.02721560342,1.000023622
0.077,1473.0916840000,1473.027571,1473.029236,1473.02792850972,1.000024115
0.0775,1473.0933690000,1473.028293,1473.030012,1473.02865007775,1.000024612
0.078,1473.0950660000,1473.029024,1473.030798,1473.02938020976,1.000025113
0.0785,1473.0967730000,1473.029763,1473.031593,1473.03011880647,1.000025618
0.079,1473.0984910000,1473.03051,1473.032398,1473.03086576715,1.000026127
0.0795,1473.1002190000,1473.031266,1473.033211,1473.03162098972,1.00002664
0.08,1473.1019580000,1473.032029,1473.034035,1473.03238437084,1.000027157
0.0805,1473.1037060000,1473.032801,1473.034867,1473.03315580600,1.000027677
0.081,1473.1054640000,1473.033581,1473.035708,1473.03393518963,1.000028202
0.0815,1473.1072320000,1473.034369,1473.036558,1473.03472241514,1.000028729
0.082,1473.1090090000,1473.035164,1473.037417,1473.03551737503,1.00002926
0.0825,1473.1107960000,1473.035967,1473.038285,1473.03631996098,1.000029795
0.083,1473.1125910000,1473.036777,1473.039161,1473.03713006392,1.000030333
0.0835,1473.1143950000,1473.037595,1473.040046,1473.03794757408,1.000030875
0.084,1473.1162080000,1473.03842,1473.040939,1473.03877238111,1.00003142
0.0845,1473.1180290000,1473.039253,1473.04184,1473.03960437412,1.000031968
0.085,1473.1198580000,1473.040092,1473.04275,1473.04044344174,1.00003252
0.0855,1473.1216950000,1473.040939,1473.043667,1473.04128947224,1.000033074
0.086,1473.1235410000,1473.041792,1473.044593,1473.04214235352,1.000033632
0.0865,1473.1253930000,1473.042652,1473.045526,1473.04300197325,1.000034193
0.087,1473.1272530000,1473.043519,1473.046467,1473.04386821886,1.000034756
0.0875,1473.1291210000,1473.044392,1473.047415,1473.04474097765,1.000035323
0.088,1473.1309950000,1473.045271,1473.048371,1473.04562013683,1.000035892
0.0885,1473.1328760000,1473.046157,1473.049335,1473.04650558356,1.000036464
0.089,1473.1347640000,1473.047049,1473.050305,1473.04739720502,1.000037039
0.0895,1473.1366590000,1473.047947,1473.051283,1473.04829488847,1.000037617
0.09,1473.1385600000,1473.048851,1473.052268,1473.04919852125,1.000038197
0.0905,1473.1404660000,1473.049761,1473.053259,1473.05010799091,1.000038779
0.091,1473.1423790000,1473.050676,1473.054258,1473.05102318517,1.000039364
0.0915,1473.1442980000,1473.051598,1473.055263,1473.05194399202,1.000039952
0.092,1473.1462220000,1473.052524,1473.056274,1473.05287029973,1.000040542
0.0925,1473.1481510000,1473.053456,1473.057292,1473.05380199691,1.000041134
0.093,1473.1500860000,1473.054394,1473.058317,1473.05473897253,1.000041729
0.0935,1473.1520250000,1473.055336,1473.059347,1473.05568111599,1.000042326
0.094,1473.1539700000,1473.056284,1473.060384,1473.05662831712,1.000042924
0.0945,1473.1559190000,1473.057236,1473.061427,1473.05758046622,1.000043525
0.095,1473.1578730000,1473.058194,1473.062475,1473.05853745410,1.000044128
0.0955,1473.1598310000,1473.059156,1473.06353,1473.05949917212,1.000044733
0.096,1473.1617930000,1473.060123,1473.06459,1473.06046551221,1.000045339
0.0965,1473.1637600000,1473.061094,1473.065655,1473.06143636687,1.000045948
0.097,1473.1657300000,1473.062069,1473.066726,1473.06241162926,1.000046558
0.0975,1473.1677040000,1473.063049,1473.067802,1473.06339119316,1.00004717
0.098,1473.1696820000,1473.064033,1473.068884,1473.06437495304,1.000047784
0.0985,1473.1716630000,1473.065022,1473.06997,1473.06536280405,1.0000484
0.099,1473.1736470000,1473.066014,1473.071062,1473.06635464207,1.000049017
0.0995,1473.1756340000,1473.06701,1473.072158,1473.06735036370,1.000049635
0.1,1473.1776240000,1473.06801,1473.07326,1473.06834986633,1.000050255
0.1005,1473.1796170000,1473.069013,1473.074366,1473.06935304808,1.000050877
0.101,1473.1816130000,1473.070021,1473.075476,1473.07035980790,1.000051499
0.1015,1473.1836110000,1473.071031,1473.076591,1473.07137004551,1.000052123
0.102,1473.1856110000,1473.072045,1473.07771,1473.07238366150,1.000052748
0.1025,1473.1876140000,1473.073062,1473.078834,1473.07340055725,1.000053374
0.103,1473.1896180000,1473.074083,1473.079961,1473.07442063501,1.000054002
0.1035,1473.1916250000,1473.075106,1473.081093,1473.07544379790,1.000054631
0.104,1473.1936330000,1473.076133,1473.082229,1473.07646994991,1.000055261
0.1045,1473.1956430000,1473.077162,1473.083368,1473.07749899590,1.000055891
0.105,1473.1976550000,1473.078195,1473.084512,1473.07853084163,1.000056523
0.1055,1473.1996670000,1473.07923,1473.085659,1473.07956539378,1.000057156
0.106,1473.2016810000,1473.080267,1473.086809,1473.08060255991,1.000057789
0.1065,1473.2036960000,1473.081307,1473.087963,1473.08164224854,1.000058423
0.107,1473.2057120000,1473.08235,1473.089121,1473.08268436906,1.000059058
0.1075,1473.2077290000,1473.083394,1473.090281,1473.08372883184,1.000059694
0.108,1473.2097470000,1473.084442,1473.091445,1473.08477554816,1.00006033
0.1085,1473.2117650000,1473.085491,1473.092612,1473.08582443026,1.000060967
0.109,1473.2137830000,1473.086542,1473.093782,1473.08687539130,1.000061604
0.1095,1473.2158020000,1473.087595,1473.094954,1473.08792834541,1.000062242
0.11,1473.2178210000,1473.088651,1473.09613,1473.08898320766,1.000062881
0.1105,1473.2198400000,1473.089708,1473.097308,1473.09003989409,1.00006352
0.111,1473.2218600000,1473.090767,1473.098489,1473.09109832167,1.000064159
0.1115,1473.2238790000,1473.091827,1473.099673,1473.09215840836,1.000064799
0.112,1473.2258970000,1473.092889,1473.100858,1473.09322007304,1.000065439
0.1125,1473.2279160000,1473.093953,1473.102047,1473.09428323559,1.00006608
0.113,1473.2299340000,1473.095018,1473.103237,1473.09534781682,1.00006672
