Time,Parker,Cowen
11.1068,2634.9260085517753,1485.2408680142755
11.107000000000001,2634.9260085517753,1485.2398859803234
11.1072,2634.9260085517753,1485.2389040251558
11.1074,2634.9260085517753,1485.2379221487665
11.1076,2634.9260085517753,1485.236940351149
11.1078,2634.9260085517753,1485.235958632297
11.107999999999999,2634.9260085517753,1485.2349769922043
11.1082,2634.9260085517753,1485.2339954308645
11.1084,2634.9260085517753,1485.2330139482713
11.1086,2634.9260085517753,1485.2320325444184
11.1088,2634.9260085517753,1485.2310512192994
11.109000000000002,2634.9260085517753,1485.230069972908
11.1092,2634.9260085517753,1485.229088805238
11.1094,2634.9260085517753,1485.228107716283
11.1096,2634.9260085517753,1485.2271267060364
11.1098,2634.9260085517753,1485.2261457744926
11.11,2634.9260085517753,1485.2251649216446
11.1102,2634.9260085517753,1485.2241841474863
11.1104,2634.9260085517753,1485.2232034520116
11.1106,2634.9260085517753,1485.2222228352139
11.1108,2634.9260085517753,1485.2212422970872
11.110999999999999,2634.9260085517753,1485.2202618376248
11.1112,2634.9260085517753,1485.2192814568207
11.1114,2634.9260085517753,1485.2183011546683
11.1116,2634.9260085517753,1485.2173209311618
11.1118,2634.9260085517753,1485.2163407862943
11.112,2634.9260085517753,1485.2153607200598
11.1122,2634.9260085517753,1485.214380732452
11.1124,2634.9260085517753,1485.2134008234643
11.1126,2634.9260085517753,1485.212420993091
11.1128,2634.9260085517753,1485.2114412413252
11.113,2634.9260085517753,1485.2104615681608
11.1132,2634.9260085517753,1485.2094819735914
11.1134,2634.9260085517753,1485.208502457611
11.1136,2634.9260085517753,1485.207523020213
11.1138,2634.9260085517753,1485.2065436613914
11.114,2634.9260085517753,1485.2055643811393
11.1142,2634.9260085517753,1485.2045851794512
11.1144,2634.9260085517753,1485.20360605632
11.1146,2634.9260085517753,1485.20262701174
11.1148,2634.9260085517753,1485.2016480457046
11.115,2634.9260085517753,1485.2006691582076
11.1152,2634.9260085517753,1485.1996903492427
11.1154,2634.9260085517753,1485.1987116188036
11.1156,2634.9260085517753,1485.197732966884
11.1158,2634.9260085517753,1485.1967543934775
11.116,2634.9260085517753,1485.1957758985777
11.1162,2634.9260085517753,1485.1947974821787
11.1164,2634.9260085517753,1485.193819144274
11.1166,2634.9260085517753,1485.192840884857
11.1168,2634.9260085517753,1485.1918627039222
11.117,2634.9260085517753,1485.1908846014624
11.1172,2634.9260085517753,1485.1899065774717
11.1174,2634.9260085517753,1485.188928631944
11.1176,2634.9260085517753,1485.1879507648728
11.1178,2634.9260085517753,1485.1869729762516
11.118,2634.9260085517753,1485.1859952660743
11.1182,2634.9260085517753,1485.1850176343348
11.1184,2634.9260085517753,1485.1840400810265
11.1186,2634.9260085517753,1485.1830626061435
11.1188,2634.9260085517753,1485.182085209679
11.119000000000002,2634.9260085517753,1485.1811078916269
11.1192,2634.9260085517753,1485.1801306519812
11.1194,2634.9260085517753,1485.1791534907352
11.1196,2634.9260085517753,1485.1781764078828
11.1198,2634.9260085517753,1485.1771994034177
11.12,2634.9260085517753,1485.1762224773338
11.1202,2634.9260085517753,1485.1752456296244
11.1204,2634.9260085517753,1485.1742688602835
11.1206,2634.9260085517753,1485.1732921693047
11.1208,2634.9260085517753,1485.1723155566817
11.120999999999999,2634.9260085517753,1485.1713390224083
11.1212,2634.9260085517753,1485.1703625664784
11.1214,2634.9260085517753,1485.1693861888853
11.1216,2634.9260085517753,1485.1684098896228
11.1218,2634.9260085517753,1485.167433668685
11.122,2634.9260085517753,1485.1664575260652
11.1222,2634.9260085517753,1485.1654814617573
11.1224,2634.9260085517753,1485.164505475755
11.1226,2634.9260085517753,1485.163529568052
11.1228,2634.9260085517753,1485.162553738642
11.123,2634.9260085517753,1485.1615779875187
11.1232,2634.9260085517753,1485.160602314676
11.1234,2634.9260085517753,1485.1596267201073
11.1236,2634.9260085517753,1485.1586512038066
11.1238,2634.9260085517753,1485.1576757657674
11.124,2634.9260085517753,1485.1567004059837
11.1242,2634.9260085517753,1485.155725124449
11.1244,2634.9260085517753,1485.154749921157
11.1246,2634.9260085517753,1485.1537747961015
11.1248,2634.9260085517753,1485.1527997492763
11.125,2634.9260085517753,1485.151824780675
11.1252,2634.9260085517753,1485.1508498902915
11.1254,2634.9260085517753,1485.1498750781193
11.1256,2634.9260085517753,1485.1489003441523
11.1258,2634.9260085517753,1485.147925688384
11.126,2634.9260085517753,1485.1469511108085
11.1262,2634.9260085517753,1485.1459766114192
11.1264,2634.9260085517753,1485.1450021902099
11.1266,2634.9260085517753,1485.1440278471744
11.1268,2634.9260085517753,1485.1430535823065
11.127,2634.9260085517753,1485.1420793955997
11.1272,2634.9260085517753,1485.1411052870478
11.1274,2634.9260085517753,1485.1401312566445
11.1276,2634.9260085517753,1485.1391573043838
11.1278,2634.9260085517753,1485.1381834302592
11.128,2634.9260085517753,1485.1372096342645
11.1282,2634.9260085517753,1485.1362359163934
11.1284,2634.9260085517753,1485.1352622766397
11.1286,2634.9260085517753,1485.1342887149967
11.1288,2634.9260085517753,1485.133315231459
11.129000000000001,2634.9260085517753,1485.1323418260195
11.1292,2634.9260085517753,1485.1313684986724
11.1294,2634.9260085517753,1485.1303952494113
11.1296,2634.9260085517753,1485.12942207823
11.1298,2634.9260085517753,1485.128448985122
11.13,2634.9260085517753,1485.1274759700814
11.1302,2634.9260085517753,1485.1265030331017
11.1304,2634.9260085517753,1485.1255301741767
11.1306,2634.9260085517753,1485.1245573933
11.1308,2634.9260085517753,1485.1235846904656
11.130999999999998,2634.9260085517753,1485.122612065667
11.1312,2634.9260085517753,1485.121639518898
11.1314,2634.9260085517753,1485.1206670501526
11.1316,2634.9260085517753,1485.1196946594243
11.1318,2634.9260085517753,1485.1187223467068
11.132,2634.9260085517753,1485.1177501119937
11.1322,2634.9260085517753,1485.1167779552793
11.1324,2634.9260085517753,1485.1158058765568
11.1326,2634.9260085517753,1485.11483387582
11.1328,2634.9260085517753,1485.1138619530632
11.133,2634.9260085517753,1485.1128901082793
11.1332,2634.9260085517753,1485.1119183414626
11.1334,2634.9260085517753,1485.1109466526068
11.1336,2634.9260085517753,1485.1099750417054
11.1338,2634.9260085517753,1485.1090035087525
11.134,2634.9260085517753,1485.1080320537417
11.1342,2634.9260085517753,1485.1070606766664
11.1344,2634.9260085517753,1485.106089377521
11.1346,2634.9260085517753,1485.1051181562984
